soil_type,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
Red Yellow Podzolic,Kandy,Maha,vegetables,4.82,43.15,19.32,26.56,38.69,4.29
Reddish Brown Earth,Anuradhapura,Maha,chili,6.07,67.84,20.0,54.37,25.0,2.47
Regosol,Kilinochchi,Maha,groundnut,7.06,41.91,19.76,30.91,12.64,1.43
Alluvial,Colombo,Yala,chili,7.28,70.2,28.61,54.84,38.25,4.65
Alluvial,Colombo,Maha,chili,6.96,56.12,37.78,51.45,37.98,5.88
Reddish Brown Earth,Hambantota,Maha,cowpea,5.69,52.97,19.68,52.87,19.3,2.41
Alluvial,Ampara,Yala,banana,6.56,79.88,26.66,55.75,24.48,3.92
Red Yellow Podzolic,Matale,Maha,vegetables,4.74,36.02,16.47,26.61,27.46,5.2
Regosol,Mannar,Yala,watermelon,7.17,46.76,23.6,21.31,14.11,1.36
Red Yellow Podzolic,Ratnapura,Yala,cocoa,4.74,43.96,24.33,34.72,29.73,5.06
Red Yellow Podzolic,Matara,Yala,vegetables,4.86,39.6,13.09,32.63,29.05,4.11
Red Yellow Podzolic,Matara,Maha,cocoa,5.8,41.49,18.7,32.89,26.95,4.69
Alluvial,Colombo,Maha,paddy,6.05,76.31,28.55,54.7,38.33,4.65
Red Yellow Podzolic,Galle,Maha,rubber,5.5,51.69,13.37,32.11,34.08,5.6
Reddish Brown Earth,Kurunegala,Maha,cowpea,5.66,68.91,22.67,50.63,23.98,2.2
Regosol,Puttalam,Yala,onion,7.72,35.6,17.12,32.62,9.73,1.48
Reddish Brown Earth,Hambantota,Maha,groundnut,5.67,47.52,18.57,49.94,24.62,2.0
Alluvial,Batticaloa,Maha,chili,6.26,56.9,26.03,62.73,26.58,4.0
Red Yellow Podzolic,Galle,Yala,pepper,5.76,41.91,21.7,27.08,35.95,4.22
Alluvial,Colombo,Yala,chili,6.36,71.37,28.25,56.51,33.99,3.88
Reddish Brown Earth,Monaragala,Maha,cowpea,5.69,46.72,34.27,36.01,17.42,2.51
Alluvial,Ampara,Maha,banana,6.45,84.65,31.56,50.06,40.0,4.57
Regosol,Kilinochchi,Yala,onion,6.69,44.25,20.05,28.35,8.0,1.25
Alluvial,Kalutara,Maha,vegetables,7.08,74.75,31.86,51.62,33.84,4.5
Red Yellow Podzolic,Galle,Maha,vegetables,4.81,55.38,13.66,36.44,35.63,3.62
Red Yellow Podzolic,Galle,Yala,cocoa,5.51,38.5,27.82,40.41,30.31,5.42
Reddish Brown Earth,Anuradhapura,Maha,groundnut,5.97,57.11,21.47,50.17,18.81,3.51
Reddish Brown Earth,Monaragala,Yala,chili,5.97,61.89,26.69,54.84,23.73,3.27
Alluvial,Gampaha,Maha,chili,6.16,68.71,39.31,66.33,29.78,4.42
Alluvial,Colombo,Yala,big onion,7.33,67.83,37.08,58.24,35.53,4.96
Reddish Brown Earth,Hambantota,Maha,onion,5.78,60.72,33.05,44.04,17.18,2.04
Red Yellow Podzolic,Ratnapura,Yala,pepper,5.59,55.41,25.51,30.39,32.85,4.3
Red Yellow Podzolic,Matale,Yala,pepper,4.93,36.95,17.96,36.49,34.58,3.04
Red Yellow Podzolic,Galle,Maha,pepper,5.39,40.56,15.57,44.18,31.91,5.36
Red Yellow Podzolic,Ratnapura,Maha,cocoa,5.64,54.34,16.97,25.38,32.23,3.88
Alluvial,Gampaha,Maha,vegetables,6.8,83.83,21.77,53.79,37.39,4.75
Regosol,Mullaitivu,Yala,chili,7.59,48.88,16.75,28.81,8.62,1.07
Alluvial,Kalutara,Yala,chili,6.94,79.6,24.57,45.55,22.13,3.85
Alluvial,Ampara,Yala,big onion,7.04,78.77,30.47,43.81,23.17,3.61
Red Yellow Podzolic,Kegalle,Yala,pepper,5.12,55.59,22.42,37.3,26.36,4.31
Reddish Brown Earth,Monaragala,Maha,chili,6.54,46.09,24.58,44.33,24.32,2.59
Red Yellow Podzolic,Kandy,Maha,vegetables,4.95,58.68,24.85,43.92,38.73,5.18
Regosol,Puttalam,Yala,watermelon,6.98,31.48,19.61,32.26,13.57,0.85
Reddish Brown Earth,Polonnaruwa,Yala,cowpea,5.65,47.82,20.76,46.47,15.16,2.17
Regosol,Puttalam,Maha,groundnut,6.53,48.57,19.96,22.94,19.16,1.26
Regosol,Puttalam,Maha,groundnut,6.73,35.18,16.78,26.15,11.28,2.51
Red Yellow Podzolic,Galle,Yala,rubber,5.76,55.62,19.92,31.63,27.13,4.14
Alluvial,Gampaha,Yala,banana,6.92,65.9,29.59,54.91,35.14,5.16
Reddish Brown Earth,Anuradhapura,Maha,chili,5.95,53.52,24.29,53.04,24.71,2.96
Red Yellow Podzolic,Kegalle,Maha,vegetables,5.72,46.91,17.66,42.36,30.47,5.66
Regosol,Mannar,Yala,onion,6.8,41.47,14.97,22.51,9.8,1.94
Regosol,Kilinochchi,Maha,tomato,6.95,32.76,12.84,32.34,16.89,1.28
Alluvial,Batticaloa,Yala,banana,6.05,72.06,26.17,43.33,28.41,4.05
Alluvial,Kalutara,Yala,banana,7.06,55.86,37.92,46.67,36.41,3.23
Red Yellow Podzolic,Ratnapura,Maha,tea,4.76,54.64,23.4,36.02,30.57,4.03
Reddish Brown Earth,Monaragala,Maha,chili,5.57,52.71,33.28,54.9,25.99,3.69
Reddish Brown Earth,Hambantota,Yala,onion,6.39,62.27,28.98,47.27,21.18,1.93
Reddish Brown Earth,Hambantota,Maha,cowpea,6.09,60.16,34.39,58.22,25.83,3.32
Reddish Brown Earth,Hambantota,Yala,cowpea,6.39,54.48,30.78,55.8,16.4,1.96
Alluvial,Gampaha,Maha,big onion,7.38,63.29,29.39,67.1,37.42,3.8
Red Yellow Podzolic,Matale,Maha,pepper,5.0,42.34,27.2,36.8,33.5,4.41
Alluvial,Batticaloa,Maha,vegetables,6.04,59.37,36.42,48.32,35.52,4.13
Alluvial,Colombo,Maha,chili,6.75,76.93,35.67,48.08,39.95,4.54
Regosol,Mullaitivu,Maha,watermelon,7.35,49.78,19.39,19.79,14.63,2.33
Reddish Brown Earth,Anuradhapura,Yala,maize,5.78,46.1,21.39,36.05,22.82,2.83
Reddish Brown Earth,Hambantota,Maha,groundnut,5.49,48.78,21.72,46.4,16.69,3.4
Regosol,Jaffna,Maha,watermelon,7.14,33.82,21.38,34.55,14.88,1.23
Reddish Brown Earth,Polonnaruwa,Yala,cowpea,6.64,45.38,33.93,59.05,13.95,3.8
Alluvial,Batticaloa,Maha,paddy,6.13,76.47,28.27,62.92,37.73,5.25
Regosol,Kilinochchi,Maha,chili,7.63,25.1,22.06,32.61,14.6,1.59
Red Yellow Podzolic,Matale,Maha,cocoa,4.95,36.36,26.37,46.45,33.23,3.05
Reddish Brown Earth,Monaragala,Maha,maize,6.6,66.22,20.83,47.14,17.89,2.73
Regosol,Jaffna,Yala,onion,7.54,35.44,18.02,29.32,15.96,1.93
Reddish Brown Earth,Hambantota,Yala,cowpea,5.69,64.48,19.3,50.83,18.37,2.19
Regosol,Mullaitivu,Maha,groundnut,6.4,41.67,21.41,29.46,11.43,1.4
Red Yellow Podzolic,Kegalle,Yala,vegetables,5.59,36.04,23.5,33.66,35.77,2.81
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,6.5,47.53,31.1,55.88,26.54,2.15
Reddish Brown Earth,Monaragala,Yala,maize,6.54,56.01,26.94,46.42,20.89,2.62
Red Yellow Podzolic,Matara,Yala,cocoa,5.57,48.07,12.4,25.11,31.43,3.1
Red Yellow Podzolic,Galle,Maha,rubber,4.98,40.96,13.87,31.6,28.49,3.87
Regosol,Puttalam,Yala,chili,7.01,35.0,18.58,19.63,10.85,2.29
Reddish Brown Earth,Anuradhapura,Yala,cowpea,5.99,65.85,20.77,43.88,20.21,3.2
Reddish Brown Earth,Kurunegala,Yala,onion,5.69,68.93,26.13,46.37,22.34,2.4
Regosol,Mannar,Yala,watermelon,7.58,39.28,23.1,25.48,12.89,0.94
Alluvial,Kalutara,Yala,vegetables,6.1,79.04,30.46,46.29,35.18,4.75
Red Yellow Podzolic,Matara,Yala,rubber,4.71,56.18,24.94,25.36,34.93,2.65
Red Yellow Podzolic,Matara,Maha,cocoa,5.41,38.48,16.85,29.11,28.19,3.93
Reddish Brown Earth,Anuradhapura,Maha,cowpea,5.54,45.64,23.3,51.93,28.27,2.62
Alluvial,Ampara,Yala,big onion,6.3,74.86,30.79,47.85,26.61,5.38
Reddish Brown Earth,Kurunegala,Yala,maize,6.46,63.78,29.44,40.62,15.35,1.85
Red Yellow Podzolic,Ratnapura,Yala,rubber,5.1,53.8,17.84,33.07,27.95,4.21
Red Yellow Podzolic,Matale,Yala,tea,4.73,39.9,13.93,41.3,26.08,5.4
Regosol,Kilinochchi,Yala,groundnut,6.83,26.09,20.1,18.94,16.96,1.58
Regosol,Jaffna,Maha,groundnut,7.67,46.39,22.33,32.58,11.22,2.38
Reddish Brown Earth,Hambantota,Maha,chili,5.94,60.74,21.31,52.41,22.57,2.29
Red Yellow Podzolic,Galle,Yala,tea,4.5,43.59,17.02,36.33,32.64,4.75
Reddish Brown Earth,Polonnaruwa,Yala,maize,5.54,55.86,30.39,42.84,19.98,2.82
Regosol,Kilinochchi,Yala,groundnut,6.97,40.91,23.95,31.78,17.48,1.87
Regosol,Jaffna,Yala,chili,6.66,48.55,15.85,26.77,17.39,0.85
Regosol,Mullaitivu,Maha,chili,7.53,45.04,13.96,33.96,19.46,1.71
Alluvial,Gampaha,Yala,chili,7.31,76.09,36.57,62.83,26.26,5.49
Regosol,Mullaitivu,Yala,chili,7.44,44.84,10.28,25.63,15.99,2.01
Reddish Brown Earth,Polonnaruwa,Maha,onion,6.36,46.52,23.33,36.25,21.03,3.49
Alluvial,Colombo,Maha,chili,6.34,58.39,41.66,43.71,26.87,3.46
Alluvial,Trincomalee,Yala,chili,6.55,55.02,34.04,51.37,23.2,2.86
Regosol,Mullaitivu,Yala,groundnut,7.62,25.2,13.92,28.56,17.04,1.81
Red Yellow Podzolic,Matara,Yala,rubber,4.78,54.14,26.39,43.18,33.44,4.3
Red Yellow Podzolic,Kandy,Maha,tea,4.83,49.77,24.84,36.96,28.53,4.1
Reddish Brown Earth,Monaragala,Maha,groundnut,6.26,63.02,28.29,56.06,20.76,3.35
Reddish Brown Earth,Anuradhapura,Yala,chili,5.75,50.27,34.03,56.91,16.47,3.11
Red Yellow Podzolic,Galle,Yala,vegetables,5.04,41.89,22.89,38.87,28.32,4.85
Alluvial,Kalutara,Yala,paddy,6.43,82.51,28.4,49.47,34.09,5.67
Reddish Brown Earth,Hambantota,Yala,onion,5.61,56.04,23.87,49.69,19.05,2.61
Red Yellow Podzolic,Kandy,Yala,rubber,5.74,54.49,13.2,42.02,35.25,4.43
Reddish Brown Earth,Anuradhapura,Yala,cowpea,6.23,54.99,34.68,48.41,22.92,2.03
Regosol,Jaffna,Maha,onion,6.78,41.72,17.14,18.46,15.19,1.94
Alluvial,Trincomalee,Yala,chili,6.98,78.09,23.72,50.49,35.07,5.21
Reddish Brown Earth,Polonnaruwa,Maha,chili,5.89,67.28,25.63,57.93,21.85,2.27
Alluvial,Kalutara,Maha,chili,7.32,62.14,32.95,54.27,31.9,3.13
Red Yellow Podzolic,Kegalle,Yala,pepper,5.79,49.44,24.39,31.64,25.12,5.09
Red Yellow Podzolic,Kegalle,Maha,tea,4.57,54.6,19.35,23.11,37.21,4.57
Regosol,Mannar,Maha,chili,6.81,45.88,22.02,26.44,13.54,1.39
Reddish Brown Earth,Hambantota,Maha,cowpea,5.58,63.62,27.16,53.68,21.14,3.32
Reddish Brown Earth,Hambantota,Yala,chili,5.53,64.27,18.09,48.76,22.87,2.61
Red Yellow Podzolic,Matara,Yala,vegetables,5.26,50.08,24.42,44.11,26.29,3.03
Red Yellow Podzolic,Ratnapura,Yala,vegetables,5.35,49.85,12.77,22.7,34.9,2.64
Red Yellow Podzolic,Ratnapura,Maha,tea,4.54,56.97,20.77,20.66,30.94,5.28
Regosol,Kilinochchi,Maha,chili,7.25,30.25,13.27,29.74,17.62,1.67
Reddish Brown Earth,Monaragala,Yala,onion,6.28,47.97,34.58,44.85,19.82,2.44
Alluvial,Kalutara,Maha,big onion,7.12,65.81,20.79,63.06,30.81,5.76
Regosol,Kilinochchi,Maha,onion,6.43,38.26,11.99,20.34,10.23,1.1
Regosol,Kilinochchi,Yala,chili,5.81,40.95,23.19,24.44,13.26,2.2
Regosol,Mullaitivu,Yala,onion,6.84,39.62,19.99,33.8,8.0,1.96
Reddish Brown Earth,Kurunegala,Maha,maize,5.79,60.07,33.78,43.38,21.8,3.39
Reddish Brown Earth,Kurunegala,Yala,chili,6.37,67.37,24.57,59.34,17.69,2.8
Red Yellow Podzolic,Galle,Maha,pepper,5.54,42.53,13.38,41.73,32.78,3.86
Reddish Brown Earth,Polonnaruwa,Yala,chili,6.13,58.97,29.44,42.7,13.65,2.31
Red Yellow Podzolic,Kandy,Maha,rubber,5.79,43.57,27.8,43.56,40.0,2.99
Regosol,Jaffna,Yala,tomato,6.67,28.71,20.12,22.9,8.29,1.43
Alluvial,Gampaha,Yala,chili,6.53,64.97,24.36,62.75,34.31,3.04
Regosol,Jaffna,Yala,tomato,7.43,29.64,10.83,21.65,14.89,1.21
Reddish Brown Earth,Hambantota,Maha,cowpea,6.21,61.58,20.12,57.5,22.01,3.37
Regosol,Mannar,Yala,watermelon,7.15,27.52,10.85,33.04,8.0,1.63
Red Yellow Podzolic,Ratnapura,Yala,pepper,5.3,56.72,25.55,25.88,35.75,4.4
Reddish Brown Earth,Anuradhapura,Maha,cowpea,5.7,49.49,18.24,48.35,19.71,3.99
Red Yellow Podzolic,Galle,Maha,pepper,5.44,42.38,12.63,35.42,28.84,5.3
Alluvial,Kalutara,Maha,vegetables,7.48,84.02,33.1,64.65,39.19,5.19
Regosol,Kilinochchi,Yala,groundnut,6.94,27.49,10.89,36.18,15.15,0.99
Alluvial,Colombo,Maha,chili,6.91,60.62,22.57,63.47,30.31,5.47
Alluvial,Gampaha,Yala,paddy,6.8,68.3,29.73,40.24,39.79,5.58
Reddish Brown Earth,Polonnaruwa,Yala,maize,6.38,66.53,20.6,39.0,20.88,2.99
Regosol,Kilinochchi,Yala,tomato,6.04,34.22,20.58,28.09,16.45,1.46
Regosol,Mullaitivu,Maha,tomato,6.7,29.21,23.02,33.27,20.86,1.13
Regosol,Mullaitivu,Yala,onion,7.0,35.22,11.69,29.44,8.0,0.99
Regosol,Puttalam,Maha,chili,6.01,38.82,10.45,31.78,15.21,1.44
Red Yellow Podzolic,Ratnapura,Yala,cocoa,5.66,36.0,22.38,25.81,36.47,4.4
Regosol,Kilinochchi,Yala,chili,6.97,37.76,10.64,32.78,13.45,1.28
Reddish Brown Earth,Monaragala,Maha,groundnut,5.95,68.51,29.51,57.57,23.07,2.31
Red Yellow Podzolic,Matara,Maha,cocoa,5.3,43.14,21.8,28.59,33.92,3.42
Reddish Brown Earth,Monaragala,Yala,chili,5.41,53.79,30.81,56.34,23.49,2.64
Regosol,Jaffna,Yala,chili,7.16,26.58,23.42,19.93,16.12,1.86
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,6.51,60.01,20.06,59.6,25.53,2.62
Reddish Brown Earth,Anuradhapura,Yala,groundnut,5.79,46.19,25.14,54.85,16.06,2.02
Red Yellow Podzolic,Galle,Yala,vegetables,4.74,43.8,19.33,24.31,31.18,4.9
Red Yellow Podzolic,Matara,Yala,vegetables,5.37,48.34,26.54,32.04,26.03,2.77
Regosol,Mannar,Maha,chili,6.87,42.36,14.45,26.59,18.51,2.48
Reddish Brown Earth,Kurunegala,Maha,chili,6.69,63.48,23.09,43.41,26.7,2.96
Regosol,Puttalam,Yala,tomato,7.74,41.46,15.36,24.16,11.03,2.2
Regosol,Puttalam,Yala,chili,7.1,30.25,15.38,35.74,8.75,1.99
Reddish Brown Earth,Kurunegala,Yala,onion,6.27,46.14,24.72,49.98,12.6,2.35
Red Yellow Podzolic,Matara,Maha,rubber,5.56,45.31,17.65,36.64,35.64,3.43
Alluvial,Kalutara,Maha,vegetables,6.4,63.92,32.62,64.14,36.02,5.87
Alluvial,Trincomalee,Yala,vegetables,7.49,72.48,33.45,55.31,36.55,5.36
Red Yellow Podzolic,Matara,Maha,rubber,5.29,59.57,18.21,46.59,39.6,3.13
Regosol,Mullaitivu,Maha,chili,7.21,48.14,11.05,28.93,15.49,2.03
Reddish Brown Earth,Hambantota,Yala,cowpea,6.38,66.0,22.71,54.44,18.43,2.28
Red Yellow Podzolic,Ratnapura,Maha,rubber,5.25,50.9,23.1,22.16,30.72,5.04
Red Yellow Podzolic,Kegalle,Maha,pepper,5.74,49.09,21.01,27.18,40.0,5.25
Alluvial,Ampara,Maha,banana,6.58,84.25,25.44,69.84,27.0,5.24
Red Yellow Podzolic,Kandy,Maha,pepper,5.64,57.0,26.05,28.81,35.41,4.28
Alluvial,Kalutara,Maha,vegetables,6.75,61.62,21.11,61.95,31.58,4.32
Red Yellow Podzolic,Ratnapura,Maha,rubber,5.48,56.82,15.31,28.83,29.04,4.4
Regosol,Kilinochchi,Yala,onion,6.77,37.15,18.27,30.23,13.29,2.0
Red Yellow Podzolic,Ratnapura,Maha,tea,4.5,40.55,23.95,33.95,35.65,3.73
Reddish Brown Earth,Hambantota,Yala,chili,5.7,50.98,34.42,54.61,23.03,2.19
Alluvial,Gampaha,Maha,chili,7.5,68.29,27.75,49.45,40.0,4.04
Red Yellow Podzolic,Matale,Maha,pepper,5.54,43.83,18.32,36.5,32.6,4.74
Regosol,Jaffna,Yala,onion,6.39,37.54,17.65,19.56,9.67,1.05
Regosol,Kilinochchi,Yala,onion,6.99,40.66,14.68,23.01,8.0,1.11
Alluvial,Gampaha,Maha,vegetables,6.24,56.76,27.03,66.35,26.24,3.44
Alluvial,Trincomalee,Maha,banana,6.02,74.45,23.17,66.55,35.34,5.77
Regosol,Jaffna,Yala,watermelon,7.73,43.89,23.65,33.63,13.4,2.07
Reddish Brown Earth,Monaragala,Yala,maize,5.56,50.9,28.97,44.05,24.51,1.86
Red Yellow Podzolic,Matara,Yala,vegetables,5.34,46.45,14.17,20.17,28.26,5.02
Regosol,Jaffna,Maha,chili,5.87,28.54,21.99,22.3,12.11,1.78
Reddish Brown Earth,Monaragala,Yala,cowpea,5.46,46.86,33.73,57.48,18.49,1.87
Reddish Brown Earth,Hambantota,Yala,cowpea,5.98,46.92,20.34,44.17,15.44,2.36
Regosol,Kilinochchi,Maha,chili,6.08,39.74,10.68,35.89,21.67,1.31
Reddish Brown Earth,Polonnaruwa,Yala,groundnut,5.61,65.78,31.11,55.23,13.34,2.63
Alluvial,Kalutara,Yala,vegetables,6.28,66.62,30.42,44.91,23.73,4.03
Regosol,Kilinochchi,Maha,chili,7.66,38.18,19.06,19.68,16.58,1.04
Red Yellow Podzolic,Ratnapura,Yala,cocoa,4.93,44.64,25.61,43.09,32.28,4.89
Alluvial,Trincomalee,Yala,paddy,6.2,73.79,34.86,43.18,25.54,4.08
Red Yellow Podzolic,Matale,Maha,rubber,5.71,49.92,24.38,36.85,38.74,3.59
Regosol,Kilinochchi,Maha,tomato,7.63,34.0,23.65,21.98,13.19,1.21
Red Yellow Podzolic,Kandy,Maha,tea,4.5,49.32,18.31,33.69,28.02,3.85
Reddish Brown Earth,Anuradhapura,Yala,groundnut,6.3,67.59,18.78,54.9,15.56,2.44
Regosol,Jaffna,Yala,chili,7.51,48.85,18.08,18.03,8.0,1.66
Reddish Brown Earth,Polonnaruwa,Maha,maize,5.95,62.51,27.2,36.51,26.97,3.87
Alluvial,Trincomalee,Maha,banana,6.43,70.97,37.0,60.13,28.36,3.61
Regosol,Jaffna,Yala,tomato,7.43,33.89,18.2,33.37,8.0,1.98
Regosol,Kilinochchi,Maha,onion,6.4,36.59,16.64,18.44,11.73,1.21
Red Yellow Podzolic,Matara,Yala,cocoa,5.32,36.72,18.05,26.36,21.99,4.07
Alluvial,Trincomalee,Maha,chili,6.05,77.18,37.58,41.64,40.0,4.94
Reddish Brown Earth,Kurunegala,Maha,groundnut,5.65,58.41,20.38,39.59,19.34,3.81
Alluvial,Ampara,Yala,vegetables,6.33,63.5,24.25,40.71,21.87,5.62
Red Yellow Podzolic,Ratnapura,Maha,pepper,5.26,44.39,14.97,35.87,31.17,4.91
Regosol,Mannar,Maha,tomato,6.69,45.17,18.5,26.04,9.79,2.33
Alluvial,Colombo,Yala,vegetables,6.71,83.45,40.29,47.01,33.23,3.97
Red Yellow Podzolic,Kandy,Maha,pepper,4.64,40.62,16.62,42.24,34.21,5.0
Red Yellow Podzolic,Matara,Yala,cocoa,4.64,52.08,14.76,26.47,24.43,3.34
Alluvial,Trincomalee,Maha,paddy,7.45,73.22,20.44,65.79,29.64,4.92
Red Yellow Podzolic,Kegalle,Yala,cocoa,4.8,56.36,14.0,27.5,25.57,4.73
Red Yellow Podzolic,Kegalle,Yala,vegetables,4.73,51.14,13.31,27.02,34.62,5.17
Red Yellow Podzolic,Matale,Yala,vegetables,5.76,50.94,26.06,38.2,34.51,5.34
Reddish Brown Earth,Anuradhapura,Yala,groundnut,5.63,68.95,26.81,36.26,14.07,3.37
Regosol,Kilinochchi,Maha,tomato,6.46,39.23,16.87,27.25,11.09,1.27
Reddish Brown Earth,Kurunegala,Yala,chili,5.48,65.82,24.62,54.24,23.16,1.84
Reddish Brown Earth,Anuradhapura,Yala,groundnut,5.66,67.96,23.94,55.51,21.77,2.19
Red Yellow Podzolic,Matale,Yala,pepper,4.92,38.65,14.68,30.73,26.95,4.85
Regosol,Mannar,Maha,tomato,6.23,42.42,21.71,34.23,18.86,2.09
Alluvial,Ampara,Maha,vegetables,6.85,74.79,23.3,66.06,27.34,5.05
Alluvial,Ampara,Yala,paddy,7.27,89.23,21.23,63.27,26.43,4.21
Alluvial,Ampara,Yala,paddy,6.89,74.55,32.21,64.66,26.71,5.67
Red Yellow Podzolic,Galle,Yala,vegetables,5.21,58.01,23.07,33.59,32.86,3.58
Alluvial,Colombo,Yala,paddy,6.1,68.68,30.7,55.8,25.72,4.93
Alluvial,Trincomalee,Yala,vegetables,6.17,70.7,21.47,65.06,23.38,5.42
Reddish Brown Earth,Anuradhapura,Maha,onion,6.69,50.85,33.58,49.4,22.32,3.23
Regosol,Jaffna,Yala,groundnut,7.01,42.8,22.18,35.52,15.71,1.93
Red Yellow Podzolic,Matara,Yala,rubber,5.4,55.36,18.05,41.46,27.52,3.03
Alluvial,Kalutara,Maha,big onion,6.69,57.29,38.01,67.7,32.63,4.02
Regosol,Kilinochchi,Yala,tomato,6.41,40.83,13.24,24.72,11.99,1.62
Red Yellow Podzolic,Matara,Maha,cocoa,5.49,41.49,17.76,36.98,37.45,3.65
Regosol,Mullaitivu,Yala,chili,6.9,41.5,17.92,31.65,13.95,0.9
Alluvial,Trincomalee,Yala,banana,6.48,59.56,41.33,40.66,38.67,3.65
Regosol,Puttalam,Yala,chili,6.6,45.65,10.09,18.2,11.43,1.69
Reddish Brown Earth,Hambantota,Yala,groundnut,5.52,61.47,24.02,45.28,21.32,1.9
Red Yellow Podzolic,Ratnapura,Yala,vegetables,5.05,55.72,24.62,34.45,33.21,3.18
Red Yellow Podzolic,Kegalle,Yala,pepper,4.98,41.8,13.19,26.56,34.04,4.25
Red Yellow Podzolic,Matara,Maha,vegetables,5.25,50.92,23.37,39.02,35.14,4.5
Red Yellow Podzolic,Matara,Yala,tea,4.51,36.36,24.71,33.95,30.98,3.57
Reddish Brown Earth,Kurunegala,Yala,chili,5.49,50.84,22.5,54.78,20.12,3.41
Red Yellow Podzolic,Kandy,Yala,rubber,5.27,56.41,15.14,42.26,33.72,3.92
Alluvial,Colombo,Yala,big onion,7.12,79.65,34.01,62.15,23.9,3.36
Reddish Brown Earth,Hambantota,Maha,groundnut,6.16,46.22,22.78,49.94,25.48,3.12
Red Yellow Podzolic,Galle,Maha,tea,5.23,51.44,17.68,36.17,27.31,6.08
Regosol,Puttalam,Yala,tomato,7.22,40.87,15.15,19.15,11.58,1.48
Regosol,Puttalam,Maha,watermelon,6.74,35.32,21.78,32.35,20.47,2.28
Regosol,Kilinochchi,Maha,tomato,6.18,45.78,10.1,26.5,17.8,1.58
Red Yellow Podzolic,Matale,Yala,vegetables,5.21,47.37,22.96,30.39,35.01,3.97
Red Yellow Podzolic,Kegalle,Yala,pepper,5.42,47.04,17.38,30.77,26.77,3.33
Reddish Brown Earth,Anuradhapura,Yala,groundnut,5.46,58.65,31.83,39.38,20.25,2.57
Reddish Brown Earth,Kurunegala,Maha,maize,5.71,59.18,19.34,53.3,26.16,3.8
Reddish Brown Earth,Anuradhapura,Yala,maize,6.13,54.66,22.28,56.29,24.7,3.01
Red Yellow Podzolic,Kandy,Yala,vegetables,4.94,50.79,14.32,24.19,33.57,3.51
Regosol,Mannar,Maha,groundnut,6.66,39.93,10.11,27.6,12.14,1.11
Reddish Brown Earth,Monaragala,Yala,chili,6.15,68.86,30.56,36.03,23.97,2.94
Regosol,Kilinochchi,Maha,chili,6.38,29.81,14.81,22.64,12.59,2.46
Reddish Brown Earth,Hambantota,Yala,maize,6.44,63.06,30.95,43.01,15.76,2.43
Reddish Brown Earth,Kurunegala,Maha,maize,6.58,53.17,25.06,40.02,25.44,3.73
Red Yellow Podzolic,Matara,Maha,tea,5.5,56.24,22.11,40.32,33.77,5.29
Red Yellow Podzolic,Matara,Maha,vegetables,5.07,47.77,24.75,37.4,35.74,2.79
Reddish Brown Earth,Kurunegala,Yala,chili,5.9,61.59,31.95,59.52,18.44,1.87
Reddish Brown Earth,Polonnaruwa,Yala,onion,6.22,58.71,23.53,59.87,18.23,2.57
Regosol,Puttalam,Maha,groundnut,7.79,31.18,21.49,21.97,18.65,2.08
Alluvial,Colombo,Maha,vegetables,6.72,80.37,26.21,50.46,34.43,4.57
Reddish Brown Earth,Kurunegala,Yala,onion,5.95,54.48,21.9,46.52,12.23,2.17
Alluvial,Colombo,Maha,banana,6.14,55.44,24.78,52.61,38.16,4.54
Alluvial,Kalutara,Maha,chili,7.42,82.41,39.76,52.53,25.61,5.95
Red Yellow Podzolic,Matara,Yala,rubber,5.12,37.28,13.52,27.68,23.56,4.28
Red Yellow Podzolic,Matara,Yala,vegetables,4.66,53.59,15.25,41.72,35.04,3.83
Reddish Brown Earth,Polonnaruwa,Yala,cowpea,5.84,67.01,29.92,41.91,13.37,3.7
Red Yellow Podzolic,Matara,Maha,vegetables,4.91,57.77,26.63,21.68,31.35,3.79
Alluvial,Trincomalee,Yala,big onion,7.34,84.09,36.59,69.82,32.09,5.2
Reddish Brown Earth,Kurunegala,Maha,onion,5.52,61.76,26.64,35.46,19.07,3.77
Regosol,Kilinochchi,Maha,onion,5.94,42.41,17.35,31.09,18.22,1.28
Regosol,Mullaitivu,Yala,onion,7.68,41.02,23.2,19.04,16.17,1.35
Regosol,Mannar,Maha,onion,6.15,38.72,21.13,22.09,15.72,1.46
Alluvial,Kalutara,Maha,banana,6.11,78.3,27.12,67.72,25.74,4.94
Red Yellow Podzolic,Galle,Yala,vegetables,5.36,40.02,21.99,27.26,26.46,4.52
Regosol,Mannar,Maha,chili,6.18,38.76,13.54,35.54,21.59,2.56
Regosol,Puttalam,Maha,watermelon,7.16,28.69,13.97,32.94,18.42,2.09
Reddish Brown Earth,Monaragala,Maha,chili,5.79,46.52,34.12,56.99,27.08,3.22
Regosol,Kilinochchi,Yala,tomato,5.93,47.32,15.84,27.47,12.72,2.3
Alluvial,Gampaha,Maha,paddy,6.26,60.74,26.76,63.81,34.98,3.6
Red Yellow Podzolic,Ratnapura,Yala,tea,5.31,54.95,21.55,39.92,29.48,3.34
Reddish Brown Earth,Kurunegala,Yala,onion,5.81,55.41,20.54,44.41,20.17,2.61
